,Value,Count,ancID,polyID,POP_COUNT,POP_AREA,CLASSDENS,POP_EST,TOTALFRACT,NEW_POP,NEWDENSITY
6809,1740067.0,27.0,22.0,1843.0,0.0,63.0,0.002,0.054,0.5869565217391305,0.0,0.0
6810,1740068.0,30.0,23.0,1842.0,0.0,1141.0,0.002,0.06,0.06053879527797397,0.0,0.0
6811,1740097.0,32.0,52.0,1813.0,0.0,1453.0,0.0001,0.0032,0.005594405594405594,0.0,0.0
6812,1741932.0,36.0,21.0,1845.0,0.0,254.0,0.001,0.036000000000000004,0.08514664143803218,0.0,0.0
6813,1741933.0,78.0,22.0,1844.0,0.0,570.0,0.002,0.156,0.23469234241010983,0.0,0.0
6814,1741934.0,2.0,23.0,1843.0,0.0,63.0,0.002,0.004,0.043478260869565216,0.0,0.0
6815,1741935.0,1.0,24.0,1842.0,0.0,1141.0,0.003,0.003,0.0030269397638986984,0.0,0.0
6816,1743800.0,88.0,22.0,1845.0,0.0,254.0,0.002,0.176,0.4162724692526017,0.0,0.0
6817,1743801.0,131.0,23.0,1844.0,0.0,570.0,0.002,0.262,0.39416278020159473,0.0,0.0
6818,1745668.0,24.0,22.0,1846.0,0.0,27.0,0.002,0.048,0.888888888888889,0.0,0.0
6819,1745669.0,69.0,23.0,1845.0,0.0,254.0,0.002,0.138,0.32639545884578997,0.0,0.0
6820,1745670.0,54.0,24.0,1844.0,0.0,570.0,0.003,0.162,0.24371897096434483,0.0,0.0
6821,1747536.0,12.0,21.0,1848.0,0.0,102.0,0.001,0.012,0.05625879043600562,0.0,0.0
6822,1747537.0,36.0,22.0,1847.0,0.0,39.0,0.002,0.07200000000000001,0.923076923076923,0.0,0.0
6823,1747538.0,3.0,23.0,1846.0,0.0,27.0,0.002,0.006,0.11111111111111112,0.0,0.0
6824,1747539.0,23.0,24.0,1845.0,0.0,254.0,0.003,0.069,0.16319772942289498,0.0,0.0
6825,1747567.0,12.0,52.0,1817.0,0.0,407.0,0.0001,0.0012000000000000001,0.004240282685512367,0.0,0.0
6826,1749406.0,333.0,21.0,1849.0,0.0,1084.0,0.001,0.333,0.232201380656858,0.0,0.0
6827,1749407.0,25.0,22.0,1848.0,0.0,102.0,0.002,0.05,0.2344116268166901,0.0,0.0
6828,1749408.0,3.0,23.0,1847.0,0.0,39.0,0.002,0.006,0.07692307692307691,0.0,0.0
6829,1751277.0,164.0,21.0,1850.0,0.0,1485.0,0.001,0.164,0.07788753799392098,0.0,0.0
6830,1751278.0,459.0,22.0,1849.0,0.0,1084.0,0.002,0.918,0.6401227250540409,0.0,0.0
6831,1751279.0,35.0,23.0,1848.0,0.0,102.0,0.002,0.07,0.32817627754336615,0.0,0.0
6832,1751327.0,1.0,71.0,1800.0,0.0,258.0,0.0001,0.0001,0.00025510204081632655,0.0,0.0
6833,1753150.0,336.0,22.0,1850.0,0.0,1485.0,0.002,0.672,0.3191489361702128,0.0,0.0
6834,1753151.0,81.0,23.0,1849.0,0.0,1084.0,0.002,0.162,0.11296283383306605,0.0,0.0
6835,1753152.0,27.0,24.0,1848.0,0.0,102.0,0.003,0.081,0.37974683544303794,0.0,0.0
6836,1755022.0,3.0,21.0,1852.0,0.0,39.0,0.001,0.003,0.039999999999999994,0.0,0.0
6837,1755023.0,38.0,22.0,1851.0,0.0,46.0,0.002,0.076,0.8260869565217391,0.0,0.0
6838,1755024.0,392.0,23.0,1850.0,0.0,1485.0,0.002,0.784,0.37234042553191493,0.0,0.0
6839,1756896.0,6.0,21.0,1853.0,0.0,30.0,0.001,0.006,0.11111111111111112,0.0,0.0
